id,name,city,region,location,source
1901,بیلبورد جویبار - ساری,ساری,جویبار - ساری، منطقه لاریم، دید از ساری,جویبار - ساری، منطقه لاریم، دید از ساری,billboardiha
2150,بیلبورد دوطرفه ساری,ساری,ساری بسمت نكا، جنب سایپا دیزل,ساری بسمت نكا، جنب سایپا دیزل,billboardiha
2151,بیلبورد محور ساری به بهشهر,ساری,محور ساری به بهشهر، جنب دانشگاه ازاد نكا,محور ساری به بهشهر، جنب دانشگاه ازاد نكا,billboardiha
2157,بیلبورد محور گرگان به ساری,ساری,محور گرگان به سمت ساری، ابتدای شهر سورک,محور گرگان به سمت ساری، ابتدای شهر سورک,billboardiha
2152,بیلبورد ساری,ساری,کمربندی شرقی به سمت میدان هلال احمر، جنب ترمینال دولت,کمربندی شرقی به سمت میدان هلال احمر، جنب ترمینال دولت,billboardiha
3142,بیلبورد بلوار بعثت,سمنان,ابتدای بلوار بعثت، رو به معلم,ابتدای بلوار بعثت، رو به معلم,billboardiha
3141,بیلبورد بلوار بعثت,سمنان,ابتدای بلوار بعثت، رو به نماز,ابتدای بلوار بعثت، رو به نماز,billboardiha
3124,بیلبورد بلوار 15خرداد,سمنان,بلوار 15خرداد، شماره دو,بلوار 15خرداد، شماره دو,billboardiha
3125,بیلبورد بلوار 15خرداد,سمنان,بلوار 15خرداد، ضلع شمال یک,بلوار 15خرداد، ضلع شمال یک,billboardiha
3143,بیلبورد بلوار قدس,سمنان,بلوار قدس، جنب هلال احمر,بلوار قدس، جنب هلال احمر,billboardiha
3121,بیلبورد بلوار ولی عصر,سمنان,بلوار ولی عصر، روبروی مسجد آل محمد,بلوار ولی عصر، روبروی مسجد آل محمد,billboardiha
